total,bet,net,inst,actual,predicted,probability,oddsH,oddsD,oddsA
-20,Make bet on a draw!,-20,1,H,D,0.765,2.05,3.5,4
-40,Make bet on a draw!,-20,2,H,D,0.647,1.95,3.6,4.33
-60,Make bet on away team!,-20,3,H,A,0.496,2.2,3.5,3.2
-60,Don't make bet!,0,4,A,A,0.073,3.6,3.5,2.15
-52.0,Make bet on home team!,8.0,5,H,H,0.999,1.4,5,9
-44.4,Make bet on home team!,7.6,6,H,H,1,1.38,5,10
-37.8,Make bet on home team!,6.6,7,H,H,1,1.33,5.5,11
-57.8,Make bet on a draw!,-20,8,A,D,0.933,1.85,3.8,4.5
-77.8,Make bet on a draw!,-20,9,A,D,0.929,2.15,3.25,4
-31.8,Make bet on a draw!,46.0,10,D,D,0.708,2.4,3.3,3.3
-51.8,Make bet on a draw!,-20,11,H,D,0.895,2.1,3.6,3.75
-51.8,Don't make bet!,0,12,A,A,0.163,4.5,3.75,1.85
-71.8,Make bet on a draw!,-20,13,H,D,0.704,2.3,3.6,3.25
-71.8,Don't make bet!,0,14,A,A,0.002,7.5,4.5,1.44
-23.8,Make bet on a draw!,48.0,15,D,D,0.754,2.5,3.4,3
-43.8,Make bet on a draw!,-20,16,H,D,0.719,2.25,3.4,3.5
-63.8,Make bet on a draw!,-20,17,A,D,0.899,2.45,3.4,3.1
-83.8,Make bet on away team!,-20,18,H,A,0.36,2.45,3.3,3.2
-103.8,Make bet on away team!,-20,19,H,A,0.473,1.95,3.8,4
-87.2,Make bet on home team!,16.6,20,H,H,0.973,1.83,3.7,4.8
-107.2,Make bet on a draw!,-20,21,H,D,0.753,2.3,3.4,3.4
-107.2,Don't make bet!,0,22,H,A,0.445,3.9,3.6,2.05
-103.8,Make bet on home team!,3.4,23,H,H,1,1.17,9,19
-103.8,Don't make bet!,0,24,H,A,0.237,4.2,3.8,1.91
-57.8,Make bet on a draw!,46.0,25,D,D,0.714,2.5,3.3,3.1
-57.8,Don't make bet!,0,26,A,A,0.376,3.4,3.5,2.25
-49.8,Make bet on home team!,8.0,27,H,H,1,1.4,5,9
0.2,Make bet on a draw!,50.0,28,D,D,0.896,2.05,3.5,4
-19.8,Make bet on home team!,-20,29,A,H,0.999,1.5,4.5,7.5
-39.8,Make bet on a draw!,-20,30,H,D,0.565,2.3,3.4,3.4
-34.8,Make bet on home team!,5.0,31,H,H,1,1.25,6.5,15
-23.4,Make bet on home team!,11.4,32,H,H,1,1.57,3.9,7.5
-16.8,Make bet on home team!,6.6,33,H,H,1,1.33,5.5,11
-16.8,Don't make bet!,0,34,H,A,0.128,3.5,3.5,2.2
-16.8,Don't make bet!,0,35,A,A,0.004,6,4,1.65
-16.8,Don't make bet!,0,36,A,A,0.202,3.4,3.4,2.3
-36.8,Make bet on away team!,-20,37,H,A,0.457,2.3,3.4,3.4
